"SWSN_ID","Site","Type","unapportioned","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"74","708","Aztec","Tsegi Red-on-orange","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166","0.417","0.417","0"
"75","708","Aztec","Tularosa Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.08","0.254","0.3764","0.2896","0"
"76","708","Aztec","Tularosa Fillet Rim","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0837","0.1575","0.2529","0.3468","0.4061","0.4061","0.3468","0"
"77","708","Aztec","Tusayan Black-on-red","0","0","0","0","0","0","0","0","0","0","0","4.8007","9.6166","14.8927","17.8316","16.5103","11.8142","6.5372","1.9968","0","0"
"78","708","Aztec","Tusayan Polychrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0482","0.1519","0.2709","0.3867","0.442","0.4043","0.2961","0"
"79","708","Aztec","Type, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","1.0459","1.0423","1.0369","1.0244","1.0104","0.993","0.9743","0.9494","0.9234","0"
"80","708","Aztec","White Mountain type, Type Undifferentiated; Early","0","0","0","0","0","0","0","0","0","0","0","12.8455","17.8718","22.2805","24.866","24.866","22.2805","17.8718","12.8455","8.2724","0"
"81","708","Aztec","White ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","216.776","223.7232","230.2517","235.3606","239.2661","241.5775","243.2337","243.2337","241.5775","0"
"82","708","Aztec","Wingate Black-on-red","0","0","0","0","0","0","0","0","0","0","0","4.51","9.9851","16.0804","18.849","16.0804","9.9851","4.51","0","0","0"
"83","708","Aztec","Wingate Polychrome","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0244","34.8651","47.2209","34.8651","14.0244","0","0","0"
"84","708","Aztec","Woodruff Smudged","0","0","0","0","0","0","0","0","0","0","0","6.3302","4.6698","0","0","0","0","0","0","0","0"
"85","720","Pueblo Pintado","Black Mesa/Sosi Black-on-white","0","0","0","0","0","0","0","0","0","0.2161","0.4724","0.7645","0.9155","0.8119","0.5327","0.2588","0.0281","0","0","0","0"
"86","720","Pueblo Pintado","Brimhall Black-on-white","0","0","0","0","0","0","0","0","0","0","0.0295","0.1913","0.3548","0.304","0.1204","0","0","0","0","0","0"
"87","720","Pueblo Pintado","Chaco Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","2.6475","5.705","2.6475","0","0","0","0","0","0"
"88","720","Pueblo Pintado","Chaco-McElmo Black-on-white (carbon paint)","0","0","0","0","0","0","0","0","0","0","0","0","1.2254","9.0843","13.1497","5.5406","0","0","0","0","0"
"89","720","Pueblo Pintado","Chuska Black-on-white","0","0","0","0","0","0","0","0","0","0","0.0845","0.6265","0.9069","0.3821","0","0","0","0","0","0","0"
"90","720","Pueblo Pintado","Chuska Carbon Painted White Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0.9631","1.0022","1.0022","0.9631","0.8892","0.789","0.6727","0.5511","0.4339","0.3282","0.2386","0.1667"
"91","720","Pueblo Pintado","Chuska Indented Corrugated Gray","0","0","0","0","0","0","0","0","0","0","0.4159","1.697","2.9563","4.4506","5.7894","6.5073","6.32","5.3048","3.8454","2.4092","1.3042"
"92","720","Pueblo Pintado","Chuska White Ware type, Undifferentiated","0","0","0","0","0","0","0","0","0","1.2038","1.2528","1.2528","1.2038","1.1116","0.9863","0.8409","0.6889","0.5424","0.4103","0.2982","0.2083"
"93","720","Pueblo Pintado","Cibola Black-on-white, Undifferentiated","0","0","0","0","0","0","0","0","0","34.3817","32.4386","30.1233","27.4692","24.6561","21.7821","18.8964","16.1361","13.5616","11.1924","9.0926","7.27"
"94","720","Pueblo Pintado","Cibola Indented Corrugated Gray","0","0","0","0","0","0","0","0","0","0","1.0178","3.6637","5.7155","8.2547","11.0503","13.6965","15.7234","16.7179","16.4576","15.0166","12.6858"
"95","720","Pueblo Pintado","Cibola Neckbanded Gray","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0"
"96","720","Pueblo Pintado","Cibola Plain Gray","0","0","0","0","0","0","0","0","0","65.8819","29.1181","0","0","0","0","0","0","0","0","0","0"
"97","720","Pueblo Pintado","Cibola White Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","38.2792","36.1159","33.538","30.5832","27.4511","24.2513","21.0385","17.9653","15.0989","12.4612","10.1233","8.0941"
"98","720","Pueblo Pintado","Corrugated Gray Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","31.6876","34.4354","36.3759","37.4204","37.4204","36.3759","34.4354","31.6876","28.3459","24.6933","20.9097","17.2125"
"99","720","Pueblo Pintado","Deadmans (La Plata) Black-on-red","0","0","0","0","0","0","0","0","0","0.6915","0.3085","0","0","0","0","0","0","0","0","0","0"
"100","720","Pueblo Pintado","Escavada Black-on-white","0","0","0","0","0","0","0","0","0","0.9967","2.5033","2.5033","0.9967","0","0","0","0","0","0","0","0"
"101","720","Pueblo Pintado","Escavada-Puerco Black-on-white","0","0","0","0","0","0","0","0","0","1.5662","3.9338","3.9338","1.5662","0","0","0","0","0","0","0","0"
"102","720","Pueblo Pintado","Gallup Black-on-white","0","0","0","0","0","0","0","0","0","0","4.2435","27.5543","51.084","43.7826","17.3356","0","0","0","0","0","0"
"103","720","Pueblo Pintado","Indented Corrugated Gray Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","17.776","23.8674","30.5201","37.1546","43.0817","47.5136","49.9083","49.9083","47.5136","43.0817","37.1546","30.5201"
"104","720","Pueblo Pintado","Kiatuthlanna-Red Mesa Black-on-white","0","0","0","0","0","0","0","0","0","0.7684","0.2316","0","0","0","0","0","0","0","0","0","0"
"105","720","Pueblo Pintado","Mancos Black-on-white","0","0","0","0","0","0","0","0","0","1.4903","2.554","3.4263","3.5983","2.9582","1.9038","0.9591","0.11","0","0","0","0"
"106","720","Pueblo Pintado","McElmo Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.9828","3.1762","5.7165","8.0538","8.8825","7.669","5.1832","2.7422","0.5938","0"
"107","720","Pueblo Pintado","McElmo/Mesa Verde Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0.9911","3.0548","5.3933","7.7752","9.1447","8.7826","6.8815","4.4021","2.2988","0.2759"
"108","720","Pueblo Pintado","Mesa Verde Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6754","12.1692","14.6269","7.0038","0.5247"
"109","720","Pueblo Pintado","Mesa Verde White Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","8.2439","7.6173","6.9082","6.1318","5.342","4.5549","3.8119","3.1223","2.5085","1.9766","1.5243","0.2582"
"110","720","Pueblo Pintado","Narrow Neckbanded Gray Ware, Type Undifferentiated","0","0","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","0","0","0"
"111","720","Pueblo Pintado","PII Gray Rim, Type Undifferentiated","0","0","0","0","0","0","0","0","0","8.4248","6.5951","4.0415","1.9386","0","0","0","0","0","0","0","0"
"112","720","Pueblo Pintado","PII/PIII Gray Rim, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0.8304","1.0006","1.1331","1.2058","1.2058","1.1331","1.0006","0.8304","0.6475","0.4745","0.3268","0.2114"
"113","720","Pueblo Pintado","PII/PIII White Ware, Type Undifferentiated","0","0","0","0","0","0","0","0","0","10.8776","13.1081","14.8438","15.796","15.796","14.8438","13.1081","10.8776","8.4825","6.216","4.2805","2.77"
"114","720","Pueblo Pintado","PIII Gray Rim, Type Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3231","0.6736","1.0992","1.4041","1.4041","1.0992","0.6736","0.3231"
"115","720","Pueblo Pintado","Plain Gray Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","62.8332","58.1172","52.9227","47.4464","41.8781","36.391","31.1332","26.2226","21.7446","17.7521","14.2683","11.2906"
"116","720","Pueblo Pintado","Puerco Black-on-red","0","0","0","0","0","0","0","0","0","0.6201","1.373","2.2111","2.5917","2.2111","1.373","0.6201","0","0","0","0","0"
"117","720","Pueblo Pintado","Puerco Black-on-white","0","0","0","0","0","0","0","0","0","0","1.2677","3.4642","5.9334","7.2582","6.345","3.9636","1.7681","0","0","0","0"
"118","720","Pueblo Pintado","Red Mesa Black-on-white","0","0","0","0","0","0","0","0","0","102.7275","28.2725","0","0","0","0","0","0","0","0","0","0"
"119","720","Pueblo Pintado","Toadlena Black-on-white","0","0","0","0","0","0","0","0","0","0.546","0.8381","0.8381","0.546","0.2318","0","0","0","0","0","0","0"
"120","720","Pueblo Pintado","White Mountain type, Type Undifferentiated; Early","0","0","0","0","0","0","0","0","0","0.0262","0.0455","0.0707","0.0983","0.1225","0.1368","0.1368","0.1225","0.0983","0.0707","0.0455","0.0262"
"121","720","Pueblo Pintado","White ware, Undifferentiated","0","0","0","0","0","0","0","0","0","16.4055","17.1416","17.8127","18.3836","18.9201","19.3399","19.6608","19.8507","19.9868","19.9868","19.8507","19.6608"
"122","720","Pueblo Pintado","Woodruff Smudged","0","0","0","0","0","0","0","0","0","2.8521","2.2224","1.6835","1.2419","0","0","0","0","0","0","0","0"
"123","727","Morris 39","Bluff Black-on-red","0","0","0","0","2.8526","1.1474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","727","Morris 39","Captain Tom Corrugated","0","0","0","0","0.0295","0.1913","0.3548","0.304","0.1204","0","0","0","0","0","0","0","0","0","0","0","0"
"125","727","Morris 39","Chaco Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0.2407","0.5186","0.2407","0","0","0","0","0","0"
"126","727","Morris 39","Chaco-McElmo Black-on-white (carbon paint)","0","0","0","0","0","0","0","0","0","0","0","0","0.0423","0.3133","0.4534","0.1911","0","0","0","0","0"
