"Site","P_900","DOG_900","BM_900","M_900","DOG_P_900","BM_P_900","DOG_R_900","EV_900","P_950","DOG_950","BM_950","M_950","DOG_P_950","BM_P_950","DOG_R_950","EV_950","P_1000","DOG_1000","BM_1000","M_1000","DOG_P_1000","BM_P_1000","DOG_R_1000","EV_1000","P_1050","DOG_1050","BM_1050","M_1050","DOG_P_1050","BM_P_1050","DOG_R_1050","EV_1050","P_1100","DOG_1100","BM_1100","M_1100","DOG_P_1100","BM_P_1100","DOG_R_1100","EV_1100","P_1150","DOG_1150","BM_1150","M_1150","DOG_P_1150","BM_P_1150","DOG_R_1150","EV_1150","SWSN_ID","CSN_macro_group","Mean_Rooms","Size_Class","GH_Count","GK_Count","Dshp_Count","Biwall_Count","Triwall_Count","PubArch","EASTING","NORTHING"
"Hammond Canyon",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3.281,3.281,0,3.281,1,0,0.4,NA,4.7189,4.7189,0,4.7189,1,0,0.4,NA,0,0,0,0,NA,NA,NA,NA,3129,"Southeast Utah",NA,NA,1,0,0,0,0,"1",610000,4170000
"Hampton",0,0,0,0,NA,NA,NA,NA,16.538,0.8394,2.9846,0.8394,0.0507558350465594,0.180469222396904,0.0203023340186238,0.329847831913213,41.4605,5.7901,2.9117,5.7478,0.139653405048178,0.0702282895768261,0.056473510932092,0.0702718024274121,49.0339,10.7501,0.1037,9.9834,0.219238118934044,0.00211486339042989,0.097076920253131,0.0955407277847112,57.9449,7.101,0,6.9099,0.122547454564595,0,0.050997758215132,0.202638135182411,62.1987,1.5193,0,1.5193,0.0244265555389421,0,0.00977062221557685,0.96096545166582,3130,"San Juan Foothills",NA,NA,0,1,0,0,0,"1",680000,4160000
"Hartman Draw",18.0152,0,2.874,0,0,0.159531950797105,0,0.118883194130387,28.8123,0.7346,6.4825,0.7346,0.0254960555040729,0.224990715770695,0.0101984222016292,0.328466845596809,47.0517,5.8336,3.4609,5.8336,0.12398276789149,0.0735552594273958,0.0495931071565958,0.0726437273826887,51.1082,9.9559,0.0847,9.9559,0.194800442981752,0.00165726830528174,0.077920177192701,0.0860404235993651,47.3955,6.2969,0,6.2969,0.132858604719857,0,0.053143441887943,0.200285738903109,21.2967,1.179,0,1.179,0.0553606896843173,0,0.0221442758737269,0.96096545166582,3131,"San Juan Foothills",NA,NA,1,1,0,0,0,"2",710000,4140000
"Haynie Ruin",34.2857,0,15.8498,0,0,0.462286025952511,0,0.1146877768642,115.2336,4.3314,38.0623,4.3314,0.037587995168076,0.330305570597465,0.0150351980672304,0.329152418506759,163.219,29.659,18.2284,29.659,0.181712913325042,0.111680625417384,0.0726851653300167,0.0675005718204824,180.9747,51.5146,0.8594,51.5146,0.284650837934805,0.00474873007110939,0.113860335173922,0.0860404235993651,183.1675,35.6553,0,35.6553,0.19465953294116,0,0.0778638131764642,0.200285738903109,165.2567,7.8396,0,7.8396,0.0474389238076278,0,0.0189755695230511,0.96096545166582,3133,"San Juan Foothills",50,1,1,1,0,0,0,"2",720000,4140000
"Haystack",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,24.1226,1.786,3,0,0.0740384535663652,0.124364703638911,0.0740384535663652,1.27348803060759,44.6993,23.2613,0,0,0.520395173973642,0,0.520395173973642,1.31748761069119,27.1781,15.9527,0,0,0.586968919828833,0,0.586968919828833,1.26037599380629,0,0,0,0,NA,NA,NA,NA,3134,"Lobo Mesa",28,1,1,1,0,0,0,"2",780000,3920000
"Haystack Great Kiva 2",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,8,5,0,0,0.625,0,0.625,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3366,"Lobo Mesa",16,1,0,1,0,0,0,"1",780000,3920000
"Hedley Ruin",0,0,0,0,NA,NA,NA,NA,108.5065,12.3491,8.7778,12.3491,0.113809771764825,0.0808965361522121,0.0455239087059301,0.309160568741461,535.0519,128.6909,11.9168,128.6909,0.24052040559056,0.0222722319087176,0.0962081622362242,0.0607747079974056,995.8094,291.1655,0.3055,291.1655,0.292390792856545,0.000306785615801578,0.116956317142618,0.0860404235993651,1354.1145,256.7787,0,256.7787,0.189628498919404,0,0.0758513995677618,0.200285738903109,1524.1757,71.016,0,71.016,0.0465930535436302,0,0.0186372214174521,0.96096545166582,3135,"San Juan Foothills",NA,NA,2,1,1,0,0,"4+",670000,4170000
"Hinkson Ranch",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,264.9383,26,0,0,0.0981360565837405,0,0.0981360565837405,1.39478875032887,393.4503,0,0,0,0,0,0,1.21335129702396,964,"Cibola",16,1,1,1,0,0,0,"2",680000,3850000
"Hogback",69.2846,0,42.5605,0,0,0.614285136956842,0,0.765679024222955,59.7874,0.0808,37.8863,0.0808,0.00135145532336245,0.633683685860231,0.000540582129344979,0.946121109097288,27.4279,1.1826,7.1056,0.5533,0.0431166804604071,0.259064675020691,0.0310129466710904,0.607371987951803,33.7586,12.5737,0.1424,0.9611,0.372459165960674,0.00421818440338166,0.355377296451867,0.685566824070746,17.2942,6.1628,0,0.4047,0.356350684044362,0,0.342310138659204,0.82816472842487,0,0,0,0,NA,NA,NA,NA,3136,"Middle San Juan",9,1,1,2,0,0,0,"3",720000,4060000
"Holmes Group",0,0,0,0,NA,NA,NA,NA,3.2229,0.7627,2.4602,0.7627,0.236650221849887,0.763349778150113,0.0946600887399547,NA,11.5048,7.7624,3.2912,7.5508,0.674709686391767,0.286071900424171,0.280919268479243,0.1950072544945,24.4181,21.2423,0.2484,16.5467,0.869940740680069,0.0101727816660592,0.463356280791708,0.360136158822727,27.9166,17.1751,0,13.0824,0.615228931889987,0,0.334054290278902,0.528352695070187,15.7837,3.0573,0,3.0573,0.193699829571013,0,0.0774799318284053,1.01364601628813,728,"Middle San Juan",70,2,2,4,0,1,1,"4+",750000,4090000
"Houck",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,89.7065,5.0545,49.6907,0,0.056344857953437,0.553925300842191,0.056344857953437,1.1157508245659,217.2206,71.9346,6.3094,0,0.331159199449776,0.0290460481188248,0.331159199449776,1.31254798271882,267.7276,57.0109,0,0,0.21294367857479,0,0.21294367857479,1.37164849105414,166.5329,0,0,0,0,0,0,1.18515592641526,3138,"Rio Puerco of the West",8,1,1,0,0,0,0,"1",660000,3910000
"Hough's Great Kiva",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,385.4756,0.3126,58.8087,0,0.000810946270010346,0.152561407258981,0.000810946270010346,1.25870509762125,618.2637,6.9168,4.6477,0,0.0111874593316735,0.00751734251905781,0.0111874593316735,1.30782300188455,710.8174,6.3037,1.5437,0,0.00886824098565961,0.00217172511533904,0.00886824098565961,1.33840507227364,522.443,0.467,0,0,0.000893877418206388,0,0.000893877418206388,1.12740039258349,3139,"Silver Creek",20,1,0,1,0,0,0,"1",580000,3790000
"House Creek",71.8755,0,0,0,0,0,0,0.0955624912146504,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3140,"San Juan Foothills",NA,NA,0,1,0,0,0,"1",720000,4160000
"House of the Giant Midden",42.2145,0,11.9688,0,0,0.283523433891198,0,0.909477277267943,34.4787,0,11.6702,0,0,0.338475638582661,0,0.792725151372533,27.0221,0.134,2.5629,0,0.00495890400820069,0.0948445901687878,0.00495890400820069,0.26995258234525,29.1998,2.4834,0,0,0.085048527729642,0,0.085048527729642,0.312465852105809,14.0281,1.3826,0,0,0.0985593202215553,0,0.0985593202215553,0.389780803034899,0,0,0,0,NA,NA,NA,NA,3141,"Central San Juan Basin",NA,NA,0,0,0,0,0,"1",740000,4000000
