"SWSN_ID","Site","Type","unapportioned","X665.P800","X665.P825","X665.P850","X665.P875","X665.P900","X665.P925","X665.P950","X665.P975","X665.P1000","X665.P1025","X665.P1050","X665.P1075","X665.P1100","X665.P1125","X665.P1150","X665.P1175","X665.P1200","X665.P1225","X665.P1250","X665.P1275"
"102","720","Pueblo Pintado","Gallup Black-on-white","0",0,0,0,0,0,0,0,0,0,0,23.0946,47.7503,48.8522,24.3028,0,0,0,0,0,0
"103","720","Pueblo Pintado","Indented Corrugated Gray Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,1e-04,14.7713,20.0547,27.758,38.4635,51.4818,59.4176,62.6573,63.112,62.454,57.8297
"104","720","Pueblo Pintado","Kiatuthlanna-Red Mesa Black-on-white","0",0,0,0,0,0,0,0,0,0.0101,0.4161,0.0251,0.028,0.0334,0.042,0.0535,0.0618,0.0684,0.076,0.0872,0.0983
"105","720","Pueblo Pintado","Mancos Black-on-white","0",0,0,0,0,0,0,0,0,0,0,3.4514,4.0424,3.9669,3.2076,2.0591,0.2726,0,0,0,0
"106","720","Pueblo Pintado","McElmo Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.4808,1.7331,3.7234,6.5908,9.2624,9.2298,6.9097,4.0609,1.009,0
"107","720","Pueblo Pintado","McElmo/Mesa Verde Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.4547,1.5628,3.2937,5.9658,8.9409,9.9105,8.6013,6.1123,3.6625,0.4955
"108","720","Pueblo Pintado","Mesa Verde Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0444,11.1651,14.908,8.1908,0.6917
"109","720","Pueblo Pintado","Mesa Verde White Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,5.6656,5.6084,5.8324,6.2483,6.6631,6.2989,5.6056,4.9067,4.3418,0.829
"110","720","Pueblo Pintado","Narrow Neckbanded Gray Ware, Type Undifferentiated","0",0,0,0,0,0,0,0,0,124.6409,0,1.5037,1.677,2.0018,2.5151,3.2048,3.6988,4.0971,4.5514,5.2224,5.8869
"111","720","Pueblo Pintado","PII Gray Rim, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,2e-04,13.6811,7.3187,0,0,0,0,0,0,0,0
"112","720","Pueblo Pintado","PII/PIII Gray Rim, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.7398,0.878,1.048,1.2374,1.3923,1.3336,1.1518,0.9377,0.741,0.5403
"113","720","Pueblo Pintado","PII/PIII White Ware, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,1e-04,9.6912,11.5014,13.7291,16.2097,18.2398,17.4693,15.0896,12.2837,9.706,7.0802
"114","720","Pueblo Pintado","PIII Gray Rim, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0,0,0.1663,0.4355,0.9055,1.335,1.4787,1.286,0.9042,0.4889
"115","720","Pueblo Pintado","Plain Gray Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,3e-04,39.8773,39.871,42.008,45.8643,49.9983,48.6037,44.6432,40.4874,37.3397,33.3068
"116","720","Pueblo Pintado","Puerco Black-on-red","0",0,0,0,0,0,0,0,0,0,0,2.0854,2.7261,2.7762,2.1659,1.2465,0,0,0,0,0
"117","720","Pueblo Pintado","Puerco Black-on-white","0",0,0,0,0,0,0,0,0,0,0,2.4083,4.6002,6.7173,7.3779,5.8728,3.0236,0,0,0,0
"118","720","Pueblo Pintado","Red Mesa Black-on-white","0",0,0,0,0,0,0,0,0,3.342,126.2321,0.0624,0.0696,0.0831,0.1044,0.133,0.1535,0.17,0.1889,0.2167,0.2443
"119","720","Pueblo Pintado","Toadlena Black-on-white","0",0,0,0,0,0,0,0,0,0,0,1.4321,1.0405,0.5273,0,0,0,0,0,0,0
"120","720","Pueblo Pintado","White Mountain type, Type Undifferentiated; Early","0",0,0,0,0,0,0,0,0,0,0,0.0371,0.0575,0.0855,0.12,0.1528,0.158,0.1404,0.1122,0.0828,0.0538
"121","720","Pueblo Pintado","White ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,1e-04,9.0367,10.4011,12.778,16.4108,21.2582,24.7721,27.6275,30.6907,34.9758,39.0491
"122","720","Pueblo Pintado","Woodruff Smudged","0",0,0,0,0,0,0,0,0,0,0,4.389,3.6109,0,0,0,0,0,0,0,0
"123","727","Morris 39","Bluff Black-on-red","0",0,0,0,2.7331,1.2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","727","Morris 39","Captain Tom Corrugated","0",0,0,0,0.0228,0.1707,0.347,0.3196,0.1398,0,0,0,0,0,0,0,0,0,0,0,0
"125","727","Morris 39","Chaco Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0.2329,0.5183,0.2488,0,0,0,0,0,0
"126","727","Morris 39","Chaco-McElmo Black-on-white (carbon paint)","0",0,0,0,0,0,0,0,0,0,0,0,0.0399,0.3055,0.4573,0.1973,0,0,0,0,0
"127","727","Morris 39","Chapin Gray","0",0,0,0,0.3276,0.2804,0.2149,0.1519,0.0252,0,0,0,0,0,0,0,0,0,0,0,0
"128","727","Morris 39","Citadel Polychrome","0",0,0,0,0,0,0,0,0,0,0.0157,0.0872,0.1796,0.2511,0.2408,0.1565,0.0689,0,0,0,0
"129","727","Morris 39","Corrugated Gray Ware, Undifferentiated","0",0,0,0,0.0619,0.089,0.1185,0.1504,0.1907,0.2361,0.2802,0.3151,0.3381,0.3491,0.351,0.3401,0.3164,0.2797,0.238,0.195,0.1505
"130","727","Morris 39","Cortez Black-on-white","0",0,0,0,3.1692,9.7077,18.2853,24.9933,26.0054,20.0685,11.3055,2.4651,0,0,0,0,0,0,0,0,0
"131","727","Morris 39","Deadmans (La Plata) Black-on-red","0",0,0,0,0.1513,0.4763,0.8941,1.1754,1.1352,0.7853,0.3825,0,0,0,0,0,0,0,0,0,0
"132","727","Morris 39","Escavada Black-on-white","0",0,0,0,0,0,0,0,0,0.635,1.7412,1.8541,0.7698,0,0,0,0,0,0,0,0
"133","727","Morris 39","Gallup Black-on-white","0",0,0,0,0,0,0,0,0,0,0.1844,1.275,2.4652,2.1818,0.8936,0,0,0,0,0,0
"134","727","Morris 39","Kiatuthlanna Black-on-white","0",0,0,0,0.6515,0.3485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","727","Morris 39","Mancos Black-on-white","0",0,0,0,0,0,0,0,2.1854,6.1063,11.4253,16.3209,17.8739,15.1745,10.1014,5.2084,0.6036,0,0,0,0
"136","727","Morris 39","McElmo Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.4096,1.3806,2.566,3.7393,4.2211,3.6841,2.4612,1.2717,0.2665,0
"137","727","Morris 39","Mesa Verde Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3992,1.3065,1.5338,0.7106,0.0499
"138","727","Morris 39","Naschitti Black-on-white","0",0,0,0,0,0.2496,0.6871,0.7384,0.3249,0,0,0,0,0,0,0,0,0,0,0,0
"139","727","Morris 39","Neck Indented Corrugated Gray Ware, Type Undifferentiated","0",0,0,0,0,0,0,0.2172,0.517,0.2657,0,0,0,0,0,0,0,0,0,0,0
"140","727","Morris 39","Newcomb Black-on-white","0",0,0,0,0.231,0.6615,0.982,0.7792,0.3463,0,0,0,0,0,0,0,0,0,0,0,0
"141","727","Morris 39","PI White Ware, Type Undifferentiated","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","727","Morris 39","PII Gray Rim, Type Undifferentiated","0",0,0,0,0,0.1342,0.3067,0.5378,0.7591,0.8406,0.7184,0.4688,0.2345,0,0,0,0,0,0,0,0
"143","727","Morris 39","PII White Ware, Type Undifferentiated","0",0,0,0,0,0.1678,0.3833,0.6723,0.9488,1.0506,0.898,0.5859,0.2931,0,0,0,0,0,0,0,0
"144","727","Morris 39","PII/PIII Gray Rim, Type Undifferentiated","0",0,0,0,0,0.0323,0.0548,0.0855,0.1289,0.1829,0.2407,0.2903,0.3221,0.3326,0.3233,0.2922,0.2451,0.189,0.1353,0.0902,0.0546
"145","727","Morris 39","PIII White Ware, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0,0,0.621,1.3393,2.2368,2.8885,2.8552,2.1831,1.2945,0.5817
